unit,sex,age,acl00,geo,TIME_PERIOD,OBS_VALUE
PTP_RT,F,TOTAL,AC0,BE,2000,100.0
PTP_TIME,F,TOTAL,AC0,BE,2000,11:11
TIME_SP,F,TOTAL,AC0,BE,2000,11:11
PTP_RT,M,TOTAL,AC0,BE,2000,100.0
PTP_TIME,M,TOTAL,AC0,BE,2000,10:45
TIME_SP,M,TOTAL,AC0,BE,2000,10:45
PTP_RT,T,TOTAL,AC0,BE,2000,100.0
PTP_TIME,T,TOTAL,AC0,BE,2000,10:59
TIME_SP,T,TOTAL,AC0,BE,2000,10:58
PTP_RT,F,TOTAL,AC0,BG,2000,100.0
PTP_TIME,F,TOTAL,AC0,BG,2000,11:38
TIME_SP,F,TOTAL,AC0,BG,2000,11:38
PTP_RT,M,TOTAL,AC0,BG,2000,100.0
PTP_TIME,M,TOTAL,AC0,BG,2000,11:54
TIME_SP,M,TOTAL,AC0,BG,2000,11:54
PTP_RT,T,TOTAL,AC0,BG,2000,100.0
PTP_TIME,T,TOTAL,AC0,BG,2000,11:45
TIME_SP,T,TOTAL,AC0,BG,2000,11:45
PTP_RT,F,TOTAL,AC0,DE,2000,100.0
PTP_TIME,F,TOTAL,AC0,DE,2000,10:58
TIME_SP,F,TOTAL,AC0,DE,2000,10:58
PTP_RT,M,TOTAL,AC0,DE,2000,99.9
PTP_TIME,M,TOTAL,AC0,DE,2000,10:41
TIME_SP,M,TOTAL,AC0,DE,2000,10:40
PTP_RT,T,TOTAL,AC0,DE,2000,100.0
PTP_TIME,T,TOTAL,AC0,DE,2000,10:49
TIME_SP,T,TOTAL,AC0,DE,2000,10:49
PTP_RT,F,TOTAL,AC0,EE,2000,100.0
PTP_TIME,F,TOTAL,AC0,EE,2000,10:30
TIME_SP,F,TOTAL,AC0,EE,2000,10:30
PTP_RT,M,TOTAL,AC0,EE,2000,99.9
PTP_TIME,M,TOTAL,AC0,EE,2000,10:36
TIME_SP,M,TOTAL,AC0,EE,2000,10:35
PTP_RT,T,TOTAL,AC0,EE,2000,99.9
PTP_TIME,T,TOTAL,AC0,EE,2000,10:33
TIME_SP,T,TOTAL,AC0,EE,2000,10:33
PTP_RT,F,TOTAL,AC0,ES,2000,100.0
PTP_TIME,F,TOTAL,AC0,ES,2000,11:05
TIME_SP,F,TOTAL,AC0,ES,2000,11:05
PTP_RT,M,TOTAL,AC0,ES,2000,100.0
PTP_TIME,M,TOTAL,AC0,ES,2000,11:11
TIME_SP,M,TOTAL,AC0,ES,2000,11:11
PTP_RT,T,TOTAL,AC0,ES,2000,100.0
PTP_TIME,T,TOTAL,AC0,ES,2000,11:08
TIME_SP,T,TOTAL,AC0,ES,2000,11:08
PTP_RT,F,TOTAL,AC0,FI,2000,100.0
PTP_TIME,F,TOTAL,AC0,FI,2000,10:38
TIME_SP,F,TOTAL,AC0,FI,2000,10:38
PTP_RT,M,TOTAL,AC0,FI,2000,99.9
PTP_TIME,M,TOTAL,AC0,FI,2000,10:23
TIME_SP,M,TOTAL,AC0,FI,2000,10:23
PTP_RT,T,TOTAL,AC0,FI,2000,100.0
PTP_TIME,T,TOTAL,AC0,FI,2000,10:31
TIME_SP,T,TOTAL,AC0,FI,2000,10:31
