unit,sex,age,acl00,geo,TIME_PERIOD,OBS_VALUE
PTP_RT,F,TOTAL,AC0,AT,2010,100
PTP_TIME,F,TOTAL,AC0,AT,2010,10:54
TIME_SP,F,TOTAL,AC0,AT,2010,10:54
PTP_RT,M,TOTAL,AC0,AT,2010,99.9
PTP_TIME,M,TOTAL,AC0,AT,2010,10:37
TIME_SP,M,TOTAL,AC0,AT,2010,10:36
PTP_RT,T,TOTAL,AC0,AT,2010,99.9
PTP_TIME,T,TOTAL,AC0,AT,2010,10:46
TIME_SP,T,TOTAL,AC0,AT,2010,10:46
PTP_RT,F,TOTAL,AC0,BE,2000,100.0
PTP_RT,F,TOTAL,AC0,BE,2010,100
PTP_TIME,F,TOTAL,AC0,BE,2000,11:11
PTP_TIME,F,TOTAL,AC0,BE,2010,11:25
TIME_SP,F,TOTAL,AC0,BE,2000,11:11
TIME_SP,F,TOTAL,AC0,BE,2010,11:25
PTP_RT,M,TOTAL,AC0,BE,2000,100.0
PTP_RT,M,TOTAL,AC0,BE,2010,100
PTP_TIME,M,TOTAL,AC0,BE,2000,10:45
PTP_TIME,M,TOTAL,AC0,BE,2010,10:59
TIME_SP,M,TOTAL,AC0,BE,2000,10:45
TIME_SP,M,TOTAL,AC0,BE,2010,10:59
PTP_RT,T,TOTAL,AC0,BE,2000,100.0
PTP_RT,T,TOTAL,AC0,BE,2010,100
PTP_TIME,T,TOTAL,AC0,BE,2000,10:59
PTP_TIME,T,TOTAL,AC0,BE,2010,11:12
TIME_SP,T,TOTAL,AC0,BE,2000,10:58
TIME_SP,T,TOTAL,AC0,BE,2010,11:12
PTP_RT,F,TOTAL,AC0,BG,2000,100.0
PTP_TIME,F,TOTAL,AC0,BG,2000,11:38
TIME_SP,F,TOTAL,AC0,BG,2000,11:38
PTP_RT,M,TOTAL,AC0,BG,2000,100.0
PTP_TIME,M,TOTAL,AC0,BG,2000,11:54
TIME_SP,M,TOTAL,AC0,BG,2000,11:54
PTP_RT,T,TOTAL,AC0,BG,2000,100.0
PTP_TIME,T,TOTAL,AC0,BG,2000,11:45
TIME_SP,T,TOTAL,AC0,BG,2000,11:45
PTP_RT,F,TOTAL,AC0,DE,2000,100.0
PTP_RT,F,TOTAL,AC0,DE,2010,100
PTP_TIME,F,TOTAL,AC0,DE,2000,10:58
PTP_TIME,F,TOTAL,AC0,DE,2010,11:12
TIME_SP,F,TOTAL,AC0,DE,2000,10:58
TIME_SP,F,TOTAL,AC0,DE,2010,11:12
PTP_RT,M,TOTAL,AC0,DE,2000,99.9
PTP_RT,M,TOTAL,AC0,DE,2010,100
PTP_TIME,M,TOTAL,AC0,DE,2000,10:41
PTP_TIME,M,TOTAL,AC0,DE,2010,10:53
TIME_SP,M,TOTAL,AC0,DE,2000,10:40
TIME_SP,M,TOTAL,AC0,DE,2010,10:53
PTP_RT,T,TOTAL,AC0,DE,2000,100.0
PTP_RT,T,TOTAL,AC0,DE,2010,100
PTP_TIME,T,TOTAL,AC0,DE,2000,10:49
PTP_TIME,T,TOTAL,AC0,DE,2010,11:03
TIME_SP,T,TOTAL,AC0,DE,2000,10:49
TIME_SP,T,TOTAL,AC0,DE,2010,11:03
PTP_RT,F,TOTAL,AC0,EE,2000,100.0
PTP_RT,F,TOTAL,AC0,EE,2010,100
PTP_TIME,F,TOTAL,AC0,EE,2000,10:30
PTP_TIME,F,TOTAL,AC0,EE,2010,11:09
TIME_SP,F,TOTAL,AC0,EE,2000,10:30
TIME_SP,F,TOTAL,AC0,EE,2010,11:09
PTP_RT,M,TOTAL,AC0,EE,2000,99.9
PTP_RT,M,TOTAL,AC0,EE,2010,99.9
PTP_TIME,M,TOTAL,AC0,EE,2000,10:36
PTP_TIME,M,TOTAL,AC0,EE,2010,11:04
TIME_SP,M,TOTAL,AC0,EE,2000,10:35
TIME_SP,M,TOTAL,AC0,EE,2010,11:03
PTP_RT,T,TOTAL,AC0,EE,2000,99.9
PTP_RT,T,TOTAL,AC0,EE,2010,100
PTP_TIME,T,TOTAL,AC0,EE,2000,10:33
PTP_TIME,T,TOTAL,AC0,EE,2010,11:07
TIME_SP,T,TOTAL,AC0,EE,2000,10:33
TIME_SP,T,TOTAL,AC0,EE,2010,11:07
PTP_RT,F,TOTAL,AC0,EL,2010,100
PTP_TIME,F,TOTAL,AC0,EL,2010,11:43
TIME_SP,F,TOTAL,AC0,EL,2010,11:43
PTP_RT,M,TOTAL,AC0,EL,2010,100
PTP_TIME,M,TOTAL,AC0,EL,2010,11:49
TIME_SP,M,TOTAL,AC0,EL,2010,11:49
PTP_RT,T,TOTAL,AC0,EL,2010,100
PTP_TIME,T,TOTAL,AC0,EL,2010,11:46
TIME_SP,T,TOTAL,AC0,EL,2010,11:46
PTP_RT,F,TOTAL,AC0,ES,2000,100.0
PTP_RT,F,TOTAL,AC0,ES,2010,100
PTP_TIME,F,TOTAL,AC0,ES,2000,11:05
PTP_TIME,F,TOTAL,AC0,ES,2010,11:24
TIME_SP,F,TOTAL,AC0,ES,2000,11:05
TIME_SP,F,TOTAL,AC0,ES,2010,11:24
PTP_RT,M,TOTAL,AC0,ES,2000,100.0
PTP_RT,M,TOTAL,AC0,ES,2010,100
PTP_TIME,M,TOTAL,AC0,ES,2000,11:11
PTP_TIME,M,TOTAL,AC0,ES,2010,11:31
TIME_SP,M,TOTAL,AC0,ES,2000,11:11
TIME_SP,M,TOTAL,AC0,ES,2010,11:31
PTP_RT,T,TOTAL,AC0,ES,2000,100.0
PTP_RT,T,TOTAL,AC0,ES,2010,100
PTP_TIME,T,TOTAL,AC0,ES,2000,11:08
PTP_TIME,T,TOTAL,AC0,ES,2010,11:27
TIME_SP,T,TOTAL,AC0,ES,2000,11:08
TIME_SP,T,TOTAL,AC0,ES,2010,11:27
PTP_RT,F,TOTAL,AC0,FI,2000,100.0
PTP_RT,F,TOTAL,AC0,FI,2010,100
PTP_TIME,F,TOTAL,AC0,FI,2000,10:38
PTP_TIME,F,TOTAL,AC0,FI,2010,10:58
TIME_SP,F,TOTAL,AC0,FI,2000,10:38
TIME_SP,F,TOTAL,AC0,FI,2010,10:58
